ID,Name,Address,Style,Price,Hours, Special food, Suitable, Space, Characteristic, Longitude, Latitude, City 
32,Gyu Shige Ngưu Phồn - Đông Du,"Số 48-50 Đông Du, phường Bến Nghé, Quận 1",,200.000 - 300.000,10h30 – 21h30,"Sụn gà hoàng kim, Cơm chiên kiểu King, Ức vịt sốt chua ngọt, Tôm chiên hoàng bào, Miến xào thịt cua tôm...","Họp mặt, sinh nhật, liên hoan,...","Phong cách hoàng gia, sang trọng","- Đa dạng ngôn ngữ và phong phú về số lượng bài hát
- Hệ thống âm thanh đạt chuẩn quốc tế",106.704751,10.776435,
33,Gyu Shige Ngưu Phồn - Trần Hưng Đạo,"6A Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1",,200.000 - 300.000,11h00 - 22h00,"Dẻ sườn bò bản lớn, Sườn bò không xương, Sườn heo bản lớn sốt Yuzu, Tôm càng sốt trứng cá tuyết, Thăn heo Iberico cao cấp, Lưỡi bò cao cấp, Lưỡi bò hoa sốt Yuzu, Sò điệp Hokkaido nướng giấy bạc…","Đặt tiệc, tiếp khách, gia đình, bạn bè, sinh nhật...",Nhật Bản. Hiện đại,"Chuỗi nhà hàng nướng Ngưu Phồn - Gyu Shige với hơn 150 chi nhánh đến từ Nhật Bản - Là nhà hàng nướng thuần Nhật, các nguyên liệu tại Gyu Shige được nhập khẩu từ chính đất nước này.",106.696211,10.769361,
34,Happy Lamb Hotpot Restaurant - Trần Hưng Đạo,"Số 329 đường Trần Hưng Đạo, P. Cô Giang, Q. 1",,500.000 - 600.000,11h00 - 02h00 sáng hôm sau ,"Lẩu 2 ngăn, chả cừu ngò rí viên, thịt xiên nướng Mông Cổ, đùi cừu nướng Mông Cổ, cừu nướng nguyên con, bánh hoàng kim, sủi cảo thịt cừu, set mì tươi...","Tất cả các loại tiệc, khách hàng văn phòng, gia đình...","Hiện đại, sang trọng ","- Happy Lamb Hotpot Restaurant là thương hiệu ẩm thực nổi tiếng đến từ Mông Cổ với hơn 100 chi nhánh tại các quốc gia: Trung Quốc, Campuchia, Mỹ... Nhà hàng Happy Lamb Hotpot Restaurant Trần Hưng Đạo là chi nhánh đầu tiên có mặt ở Việt Nam. 
- Nhà hàng chuyên phục vụ gọi món Lẩu Trung Hoa và các món ăn từ thịt cừu độc đáo theo phong cách Mông Cổ.",106.690252,10.761841,
36,Hội An Garden – Trần Quốc Toản,"Số 72/1, đường Trần Quốc Toản, Phường 08, Quận 3",,250.000 – 350.000,10h00 – 22h00,- Không gian truyền thống đầy màu sắc đậm chất làng chài cổ Nhật Bản,KHÔNG GIAN:,,,106.687719,10.787545,
53,Mr Beer - Bùi Thị Xuân,"Số 56 - 58 Bùi Thị Xuân, P. Bến Thành, Q. 1",,200.000 - 500.000,10h30 – 23h00,"Steak (Bò Mỹ thượng hạng, Bò Wagyu Úc, Bò New Zealand, Bò Nhật), Vẹm New Zealand đút lò, Sườn heo nguyên bẹ sốt Thái, Vây cá hồi cháy tỏi…","Hội họp, gặp gỡ, giao lưu, tiếp khách…","Không gian mở, hiện đại",- Nguyên liệu bò nhập khẩu cao cấp.,106.689804,10.771381,
35,Nhà Hàng Hoa Lư,"2 Bis Đinh Tiên Hoàng, P. Đa Kao, Q. 1",,150.000 - 500.000 vn,"10h:30 - 13h:30, 17h:30 - 20h:30","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Phong cách điện ảnh châu Âu, sang trọng","- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",106.700823,10.787350,
37,Hue Delights - Takashimaya,"B2-15, Takashimaya, 92-94 Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Q. 1",,120.000đ - 200.000,09h30 – 21h30,"Các loại bánh Huế: Bánh bèo, bánh nậm, bánh lọc, bánh cuốn thịt nướng…; Cơm sen chay, Cơm sen bò, Cơm đùi gà rô ti, Cơm chiên cá mặn…; Bún bò, Bún thịt nướng, Nem lụi; Các món gỏi; Lẩu bò, Lẩu hải sản; Các loại chè Huế...","Gặp mặt, liên hoan, họp nhóm, gia đình,…..",Hiện đại,"Chuỗi nhà hàng Hue Delights chuyên phục vụ các món ăn Huế, được sáng lập bởi nghệ nhân ẩm thực Phan Tôn Tuệ Minh – người có xuất thân từ gia đình dòng dõi hoàng tộc và có nhiều người là nghệ nhân, chuyên gia ẩm thực hàng đầu Việt Nam.",106.700606,10.773135,
38,Kậu Ba Quán - Hoàng Sa,"Số 85 đường Hoàng Sa, P. Đa Kao, Q. 1",,150.000 - 250.000,9h00 - 24h00,"- Bò satsuma A5+ (dùng kèm bánh chanh vàng, cà chua, khoai tây nấu chậm trong mỡ bò Kobe, cà rốt nhỏ)
- Đùi vịt nấu chậm (dùng kèm khoai tây xào tỏi, húng quế, xà lách rocket, sốt mù tạt vàng)
- Cà chua lớn phô mai mozzarella (bánh tart nghìn lớp nhân cà chua, phô mai Mozzarella nhà làm, sốt quế, giấm balsamic, xà lách rocket)
- Súp vàng hải sản kiểu Pháp (Nhụy hoa nghệ tây, cá mú , sò điệp, mực, sốt Aioli)
- Mỳ Ý đen nhà làm (dùng kèm sò điệp, tôm sú biển, vẹm, sốt tôm)
- Súp phở bào ngư gan ngỗng
- Salad trái cây – kem trà xanh bạc hà – bánh quy
- Lưỡi bò","Tất cả khách hàng, gia đình, bạn bè, tiếp khách, sinh nhật...","Phong cách Âu, sang trọng, ấm áp","- Nhà hàng Kobe Bistro do đầu bếp nổi tiếng David Thai làm đầu bếp trưởng. Ông là một chuyên gia về ẩm thực Pháp đương đại. Phong cách đặc trưng của ông là sự pha trộn 2 nền ẩm thực Đông và Tây.
- Món ăn mang hương vị khác biệt và không gian sang trọng, ấm áp đặc trưng tại Kobe Bistro sẽ là một lựa chọn hoàn hảo, ghi dấu ấn khó phai cho bữa tiệc của bạn.",106.701845,10.792545,
39,Kiba - Food Wine Taste - Phó Đức Chính,"Số 31 Phó Đức Chính, P. Nguyễn Thái Bình, Q. 1",,180.000 - 400.000,11h00 – 24h00,"Tôm xông khói, Bánh cá kiểu Mexico, Vịt chiên kiểu Pháp, Dải thăn sườn bò nướng kiểu Nhật, Heo Ibeica, Bò hầm kiểu Indonesia, Cà rốt kiểu Ấn Độ...","Liên hoan, sinh nhật, tiếp khách, gia đình, bạn bè...","Hiện đại, sang trọng","- Với kinh nghiệm ẩm thực khắp thế giới, đội ngũ quốc tế tại Kiba đã đúc kết những tinh túy ở từng đất nước để sáng tạo nên những hương vị tuyệt vời giới thiệu đến thực khách Sài Gòn.
- Kiba còn tự tạo ra một vườn rau thủy canh riêng tại chính nhà hàng, để cung cấp nguồn rau sạch cho các món ăn của mình.",106.700796,10.767733,
40,Kiki Hotpot - Lẩu 1 người Đường 3/2,"420 Đường 3/2, P. 12, Q. 10",,178.000 - 350.000,11h00 – 22h00,"Lẩu ba rọi bò Mỹ, Lẩu ba rọi heo, Lẩu nạc dăm heo, Lẩu thịt đùi gà, Lẩu thăn bò cẩm thạch Úc, Lẩu bắp hoa bò Mỹ, Lẩu sườn bò không xương Mỹ, Lẩu đầu cá hồi…","Khách văn phòng, gia đình, bạn bè",Hiện đại,"- Kiki Hotpot phục vụ mỗi khách hàng 1 nồi lẩu, đảm bảo hương vị và ATVSTP.
- 8 vị lẩu châu Á đặc sắc cùng menu món nhúng tươi ngon, phong phú",106.669023,10.768942,
41,Kiki Hotpot - Lẩu 1 người - Vạn Hạnh Mall,"Lầu 6.17, TTTM Vạn Hạnh Mall, Số 11 Sư Vạn Hạnh, P. 13, Q. 10",,178.000 - 350.000,11h00 – 22h00,"Lẩu ba rọi bò Mỹ, Lẩu ba rọi heo, Lẩu nạc dăm heo, Lẩu thịt đùi gà, Lẩu thăn bò cẩm thạch Úc, Lẩu bắp hoa bò Mỹ, Lẩu sườn bò không xương Mỹ, Lẩu đầu cá hồi…","Khách văn phòng, gia đình, bạn bè",Hiện đại,"- Kiki Hotpot phục vụ mỗi khách hàng 1 nồi lẩu, đảm bảo hương vị và ATVSTP.
- 8 vị lẩu châu Á đặc sắc cùng menu món nhúng tươi ngon, phong phú",106.669490,10.770596,
42,King BBQ Buffet - Mạc Đĩnh Chi,"Số 38 Mạc Đĩnh Chi, P. Đa Kao, Q. 1",,250.000 - 300.000,10h30 – 20h30,"Hàu Nướng Misoyaki, Set Tàu Sashimi Titanic, Cuốn Hải Sản Chiên Xù Sốt Spicy, Cuốn Cá Hồi Phủ Cheese Đút Lò...","Gia đình, bạn bè, đồng nghiệp,...",Phong cách Nhật Bản,"Nhà hàng Sushi Masa chuyên ẩm thực Nhật Bản, hoạt động với tôn chỉ “Chất lượng, tươi ngon, hợp vệ sinh cùng những trải nghiệm dịch vụ tốt nhất có thể với giá cả phải chăng”.",106.697336,10.787051,
43,King Karaoke - Hai Bà Trưng,"Số 27-29-31-33 Hai Bà Trưng, P. Bến Nghé, Q.1",,300.000 – 500.000,11h30 – 24h00,"Sụn gà hoàng kim, Cơm chiên kiểu King, Ức vịt sốt chua ngọt, Tôm chiên hoàng bào, Miến xào thịt cua tôm...","Họp mặt, sinh nhật, liên hoan,...","Phong cách hoàng gia, sang trọng","- Đa dạng ngôn ngữ và phong phú về số lượng bài hát
- Hệ thống âm thanh đạt chuẩn quốc tế",106.705344,10.776169,
44,Kobe Bistro By Chef David Thai - Tôn Đức Thắng,"23C Tôn Đức Thắng, P. Bến Nghé, Q. 1",,600.000 - 1.000.000,11h00 - 15h00 & 17h30 - 22h00,"- Bò satsuma A5+ (dùng kèm bánh chanh vàng, cà chua, khoai tây nấu chậm trong mỡ bò Kobe, cà rốt nhỏ)
- Đùi vịt nấu chậm (dùng kèm khoai tây xào tỏi, húng quế, xà lách rocket, sốt mù tạt vàng)
- Cà chua lớn phô mai mozzarella (bánh tart nghìn lớp nhân cà chua, phô mai Mozzarella nhà làm, sốt quế, giấm balsamic, xà lách rocket)
- Súp vàng hải sản kiểu Pháp (Nhụy hoa nghệ tây, cá mú , sò điệp, mực, sốt Aioli)
- Mỳ Ý đen nhà làm (dùng kèm sò điệp, tôm sú biển, vẹm, sốt tôm)
- Súp phở bào ngư gan ngỗng
- Salad trái cây – kem trà xanh bạc hà – bánh quy
- Lưỡi bò","Tất cả khách hàng, gia đình, bạn bè, tiếp khách, sinh nhật...","Phong cách Âu, sang trọng, ấm áp","- Nhà hàng Kobe Bistro do đầu bếp nổi tiếng David Thai làm đầu bếp trưởng. Ông là một chuyên gia về ẩm thực Pháp đương đại. Phong cách đặc trưng của ông là sự pha trộn 2 nền ẩm thực Đông và Tây.
- Món ăn mang hương vị khác biệt và không gian sang trọng, ấm áp đặc trưng tại Kobe Bistro sẽ là một lựa chọn hoàn hảo, ghi dấu ấn khó phai cho bữa tiệc của bạn.",106.705523,10.782575,
45,Lava Cuisine & Lounge - Hai Bà Trưng,"Số 74/3 Hai Bà Trưng, P. Bến Nghé, Q. 1",,250.000 - 500.000,07h00 – 02h00 sáng hôm sau,"Cá hồi trộn, Cá hồi bọc trứng lòng đào, Cá ngừ áp chảo sốt thơm, Gỏi đu đủ tôm nướng sốt me, Cơm chiên gan ngỗng, Thịt bò Wagyu dùng kèm đậu Hà Lan nghiền, Đùi vịt nấu chậm sốt tương cay, Các loại cocktails…","Tiếp khách, bạn bè, cặp đôi…",Phong cách thiết kế hang động,Không gian thiết kế ấn tượng theo phong cách hang động. Các loại cocktails và đồ ăn độc đáo.,106.703850,10.778101,
47,Matsuri Japanese Restaurant - Nguyễn Huệ,"Số 3,5,7 Nguyễn Huệ, P. Bến Nghé,Q. 1",,250.000 - 300.000,11h00 - 22h00,"- Thịt sườn bò Wagyu Australian, Thịt mông bò Wagyu Australian, Nạc vai bò Australian thượng hạng, Nạc vai bò Mỹ,...
- Nhúng lẩu: Nấm hải sản, Nấm bào ngư, Nấm sò, Nấm hương, Nấm kim châm","Tụ họp, gặp mặt, liên hoan, họp nhóm, gia đình....",Nhật Bản,On-Yasai nằm trong chuỗi nhà hàng nổi tiếng tại Nhật Bản thuộc sở hữu của tập đoàn Colowide - tập đoàn về kinh doanh nhà hàng có quy mô đứng đầu tại Nhật Bản,106.705882,10.771655,
48,Michi Sushi – Nguyễn Huệ,"Lầu 7, 42 Nguyễn Huệ , P. Bến Nghé, Q. 1",,150.000 – 300.000,11h00 - 13h30 và 16h00 - 21h00,"Các loại rượu Whisk(e)y từ khắp thế giới, cocktails sáng tạo, cigars, các món snack nhẹ như Các loại phô mai; Các loại thịt nguội xông khói; Da heo chiên giòn dùng kèm sốt chili mayo; Trứng hồng đào bọc thịt heo, nấm Truffle đen…","Tụ họp bạn bè, cặp đôi, liên hoan, sinh nhật,…",Hiện đại,"- Firkin Bar với phong cách lịch lãm và hiện đại mang đến danh sách đồ uống ấn tượng được tạo nên bởi các bartender chuyên nghiệp, đặc biệt là các loại Whisk(e)y; kết hợp cùng những món Âu nhẹ nhàng, tinh tế sẽ là những gợi ý hoàn hảo không thể bỏ qua.",106.705850,10.771740,
49,Miya Sushi & BBQ - Nguyễn Trãi,"150/26 Nguyễn Trãi, P. Bến Thành, Q. 1",,100.000 - 170.000,10h00 – 14h30 và 17h00 – 22h00,"Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…","Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",106.690137,10.770082,
50,Mộc – Riêu & Nướng - Võ Văn Kiệt,"Số 318 Võ Văn Kiệt, P. Cô Giang, Q. 1",,150.000 - 200.000,T2–T7: 11h00 - 21h30 & CN: 15h00 - 21h30,"Fresh Cherabin Spaghetti, Salmon Steak, Ontama Bolognese Spaghetti, Pesto Seafood, Cheese Platter, Ceasar Salad…","Tụ họp, gặp mặt, họp nhóm, sinh nhật, gia đình...",Italia hiện đại,"Basta Hiro được sáng lập bởi Hiromi Yamada - đầu bếp nổi tiếng người Nhật với tài năng đặc biệt trong việc sáng tạo các món Ý. Là người đã viết ra hàng chục cuốn sách về món Ý, ông là một trong những đầu bếp huyền thoại góp phần mang lại sự kết hợp tinh tế giữa hai phong cách Ý - Nhật.",106.695849,10.761311,
59,Pachi Pachi - Mạc Đĩnh Chi,"52 Mạc Đĩnh Chi, P. Đa Kao, Q. 1",,300.000 - 350.000,10h30 - 22h00,,"KH văn phòng, bạn bè, gia đình,...",Không gian mang đậm phong cách Nhật Bản,,106.696894,10.787443,
51,Món Ăn Ngon - Huyền Trân Công Chúa,"Số 01 Huyền Trân Công Chúa, P. Bến Thành, Q. 1",,150.000 - 200.000,06h00 – 21h00,"Há cảo HongKong, Cơm chiên tôm huỳnh hạt lầu, Vịt quay Bắc Kinh, Heo sữa quay, Sò điệp bách hoa chiên hạnh nhân lát, Hủ tiếu xào bò kiểu Quảng Đông, Đậu hủ hải sản tay cầm, Nhất phẩm phật khiêu tường…","Đặt tiệc, liên hoan, gia đình, bạn bè, sinh nhật…",Sang trọng,"Nhà hàng chuyên điểm tâm và các món ăn mang phong cách Trung Hoa đặc sắc. Với không gian ấm cúng và sang trọng thích hợp cho các buổi gặp gỡ, sinh nhật.",106.694125,10.776636,
64,East West Brewing Co. - Lý Tự Trọng,"181-183-185 Lý Tự Trọng, Phường Bến Thành, Quận 1",,200.000 - 500.000,T2 -T4 & CN: 12h00 - 24h00; T5 - T7: 12h00 – 01h00 sáng hôm sau,"Cháo ếch Singapore, Cua sốt ớt Singapore, Các món cari, Các món Sambal, Hải sản tươi sống…","Họp mặt bạn bè, liên hoan, đặt tiệc, gia đình, tiếp khách…",Phong cách kiến trúc Âu – Á,Giữ nguyên hương vị truyền thống Singapore và sự kết hợp hài hòa với các nền văn hóa ẩm thực đa dạng.,106.696191,10.772993,
54,Ngọc Sương Seafood & Bar - Nguyễn Siêu,"Số 08 Nguyễn Siêu, P. Bến Nghé, Q. 1",,250.000 - 500.000,11h00 - 21h30,"Gỏi cá Ngọc Sương, Tôm càng tái chanh sốt Tomyum, Sashimi hải sản – sốt nấm Truffle, Cơm giòn thịt cua, Cá chẽm nướng, Súp nghêu & vẹm, Mực một nắng nướng muối ớt...","Đặt tiệc, liên hoan, tiếp khách, tụ họp bạn bè, gia đình...","Hiện đại, sang trọng","- Là một thành viên của Tập Đoàn Ngọc Sương với chuỗi hải sản lâu đời với nhiều chi nhánh trên toàn quốc.
- Nguồn nguyên liệu hải sản từ các vùng biển nổi tiếng trong nước và vận chuyển về ngay trong ngày
- Nhạc sống phục vụ T3 hàng tuần từ 19h00 đến 21h00",106.705355,10.778958,
55,Barbecue Garden - Nam Kỳ Khởi Nghĩa,"135A Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Q. 1",,220.000 – 300.000 vn,11h00 - 23h00,"Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Phong cách điện ảnh châu Âu, sang trọng","- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",106.697816,10.776823,
56,Beirut Restaurant - Ngô Đức Kế,"21 Ngô Đức Kế, P. Bến Nghé, Q. 1",,400.000 - 500.000,11h30 - 14h30 & 16h00 - 24h00,"Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…","Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…",Phong cách Nhật Bản,"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",106.705963,10.773898,
57,Bò Lế Rồ - Trần Khánh Dư,"Số 5 Trần Khánh Dư, P. Tân Định, Q. 1",,120.000 – 200.000 vn,11h00 - 17h00,"Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Phong cách điện ảnh châu Âu, sang trọng","- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",106.689174,10.793893,
58,Liberty Level 9 – Phạm Ngũ Lão,"Lầu 9, Số 265 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Q. 1",,200.000 - 500.000,"Alacarte: T2 - T4 : 11h00 - 14h00, Buffet: T5-CN: 11h00 - 13h30","Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…","Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",106.692297,10.768132,
60,Nhà hàng Chen – Nguyễn Trãi,"152-154 Nguyễn Trãi, P. Bến Thành, Q. 1",,200.000 - 300.000,10h00 – 23h00,"Steak (Bò Mỹ thượng hạng, Bò Wagyu Úc, Bò New Zealand, Bò Nhật), Vẹm New Zealand đút lò, Sườn heo nguyên bẹ sốt Thái, Vây cá hồi cháy tỏi…","Hội họp, gặp gỡ, giao lưu, tiếp khách…","Không gian mở, hiện đại",- Nguyên liệu bò nhập khẩu cao cấp.,106.690362,10.769451,
61,Chill Thái - Cô Giang,"Số 163 Cô Giang, P. Cô Giang, Q. 1",,150.000 - 250.000,10h00 - 22h00,"Canh súp Tomyum nước trong sườn sụn, Cà ri xanh với thịt heo, Gỏi xoài xanh cá trê, Gỏi đu đủ tôm khô & ba khía, Tôm sú sốt Satay, Xí quách Tomyum, Cà ri đỏ hải sản, Pad thai, Lẩu Tomyum….","Tụ họp, liên hoan, sinh nhật, gia đình, bạn bè...","Hiện đại, trẻ trung","Chill Thái là một nhà hàng nhỏ rộn ràng, nơi bạn cảm nhận một nền văn hóa ẩm thực Thái Lan đầy cá tính.",106.693974,10.762105,
62,Con Voi Vàng - Hai Bà Trưng,"34 Hai Bà Trưng, P. Bến Nghé, Q. 1",,250.000 - 300.000,11h00 - 14h00 & 17h00 - 22h00,"Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…","Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…",Phong cách Nhật Bản,"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",106.704733,10.776988,
63,Dì Mai - Lê Thị Hồng Gấm,"136-138 Lê Thị Hồng Gấm, P. Nguyễn Thái Bình, Q. 1",,200.000 – 300.000,07h00 – 23h00,"Bánh tôm Hồ Tây, Chả cốm, Bánh đa cua Hải Phòng, Mì Quảng, Cao lầu Hội An, Bún chả cá Nha Trang, Bánh xèo, Bánh khọt, Gỏi củ hũ dừa, Rau muống xào chao ớt, Bánh canh giò heo Trảng Bàng, Bún mắm Châu Đốc...","Đặt tiệc, liên hoan, tiếp khách, sinh nhật, bạn bè, gia đình...",Kiến trúc nhà rường xưa ở Huế,Thực đơn phong phú hơn 300 món ăn 3 miền đặc trưng.,106.696310,10.767713,
65,Hoàng Tâm - Món ngon miền Tây – Vinhomes Central Park,"Park 1, Vinhomes Central Park, Số 208 Nguyễn Hữu Cảnh, P. 22, Q. Bình Thạnh",,100.000 – 150.000 vn,10h00 – 22h00,"Heo mọi luộc cuốn bánh tráng, Bò nướng lá lốt, Bò tơ nhúng dấm, Bánh xèo thịt vịt, Gỏi gà hoa chuối, Gỏi cuốn tôm thịt, Chả giò hải sản sầu riêng, Lẩu gấc cá hồi, Lẩu nấm Hoàng Tâm, Lẩu bao tử hầm tiêu","Đặt tiệc, liên hoan, tiếp khách, tụ họp bạn bè, gia đình,...",ện đại kết hợp truyền thống,"- Nhà hàng Hoàng Tâm chuyên gọi món Việt, đặc biệt là các món ăn ngon và đặc sắc của miền Tây.",106.717120,10.794950,
66,HUE Restaurant – Hai Bà Trưng,"Số 74/7 Hai Bà Trưng, P. Bến Nghé, Q. 1",,150.000 - 200.000,11h00 - 22h00,"Bún bò Huế, Vả trộn tôm thịt, Nem nướng, Chả giò chạo tôm, Bánh Khoái, Phở Sắn Quế Sơn với gà xào nghệ, Bánh canh HUE với tôm và chả cua, Bánh bèo tôm, Chả giò cuốn bánh tráng","Gia đình, bạn bè, liên hoan nhóm","Hiện đại, trẻ trung","- Nhà hàng HUE thuộc tập đoàn HTGroup – tập đoàn sở hữu nhiều thương hiệu ẩm thực khác như: Hoa Túc, TukTuk, Chị Hoa, ANH TUKK.
- Nguyên liệu tươi ngon sử dụng trong ngày. Màu sắc của món ăn được chiết xuất từ các loại lá, củ (lá cẩm, lá é, củ dền…) hoàn toàn từ thiên nhiên.",106.703647,10.778556,
